date,weight,P_cp,vol_guard_cap,ed_accel_signal,spread_signal,fisher_rho_signal,lambda_macro,s_t,sigma2_spread,roll_threshold,momentum_lockout,qqq_price,qqq_sma200
2021-06-02,0.9611151766664883,0.006038301285772066,1.9999999999999991,-0.00422742814635424,-1.4134228325847664,0.39529462148941336,0.006034722222222222,0.006784138323277889,0.5040181494332748,1.0,False,323.60931396484375,298.0857382965088
2021-06-03,0.9611151766664883,0.005579389762534019,1.9999999999999991,-0.007701345247114522,-1.2876503282419152,0.3908437298977854,0.0055763888888888885,0.00668775843841838,0.5047316528099387,1.0,False,320.241943359375,298.35515296936035
2021-06-04,0.9611151766664883,0.006058960623860317,1.9999999999999991,-0.010801539073517108,-1.604862669266392,0.458182403706402,0.006055555555555555,0.006637454613253735,0.5092766070692453,1.0,False,325.6763610839844,298.6389208221436
2021-06-07,0.9611151766664883,0.006010044223392349,1.9999999999999991,-0.006321300583907119,-1.5901952171333924,0.5392010028051974,0.006006944444444444,0.006587261782064825,0.5134753445444349,1.0,False,326.6468200683594,298.93658668518066
2021-06-08,0.9611151766664883,0.005960883953433144,1.9999999999999991,-0.010360132477631678,-1.4451325815011253,0.5588225783706663,0.005958333333333334,0.006537151555774291,0.5156606696933567,1.0,False,326.80206298828125,299.2165019989014
2021-06-09,0.9611151766664883,0.005953981456790744,1.9999999999999991,-0.019258105770256218,-1.2682854279912512,0.4573918809048917,0.005951388888888889,0.006490497947855607,0.5158507912551457,1.0,False,326.8796691894531,299.4874211883545
2021-06-10,0.9611151766664883,0.005669283451059724,1.9999999999999991,-0.012210838434898452,-1.6140089256527395,0.6316176864742111,0.005666666666666667,0.006424800788111936,0.5200713172463459,1.0,False,330.285888671875,299.7668579864502
2021-06-11,0.9611151766664883,0.006009834280873273,1.9999999999999991,-0.005603220593869085,-1.7136285309033616,0.6515218912299631,0.006006944444444445,0.006391603467532844,0.5256122749040604,1.0,False,331.1495361328125,300.03982612609866
2021-06-14,0.9611151766664883,0.005988586058091647,1.9999999999999991,-0.0027509593933887633,-1.5577220909060319,0.665236324939276,0.005986111111111111,0.006359362074777549,0.5287963818819832,1.0,False,334.32293701171875,300.2991542816162
2021-06-15,0.9611151766664883,0.0061271751428287205,1.9999999999999991,-0.001085799590309633,-1.421093230444597,0.6210901367267124,0.006125,0.006340787120221643,0.5302176516623094,1.0,False,332.139404296875,300.55196647644044
2021-06-16,0.9611151766664883,0.006113170524199396,1.9999999999999991,-0.001439784141731959,-1.1804530525247583,0.53542216186495,0.006111111111111111,0.006322577792539864,0.5292636780746695,1.0,False,330.92633056640625,300.7915535736084
2021-06-17,0.9611151766664883,0.004926220570840825,1.9999999999999991,-0.010094840770785929,-1.2571585561295384,0.33082110268034165,0.004923611111111111,0.006210869214803941,0.5289327627809641,1.0,False,335.12841796875,301.0407834625244
2021-06-18,0.9611151766664883,0.0059179894580229635,1.9999999999999991,-0.01475823637417939,-0.6328175000789011,-0.14156531989111512,0.005916666666666667,0.006187438834261464,0.5255434059844364,1.0,False,332.49847412109375,301.25248390197754
