effective_from,effective_to,ticker
2013-01-01,2019-12-31,CHKP
2013-01-01,2019-12-31,CMCSA
2013-01-01,2019-12-31,COST
2013-01-01,2019-12-31,CSCO
2013-01-01,2019-12-31,CTAS
2013-01-01,2019-12-31,EXPD
2013-01-01,2019-12-31,FAST
2013-01-01,2019-12-31,GILD
2013-01-01,2019-12-31,GOOG
2013-01-01,2019-12-31,GOOGL
2013-01-01,2019-12-31,IDXX
2013-01-01,2019-12-31,ILMN
2013-01-01,2019-12-31,INTC
2013-01-01,2019-12-31,INTU
2013-01-01,2019-12-31,ISRG
2013-01-01,2019-12-31,KLAC
2013-01-01,2019-12-31,LRCX
2013-01-01,2019-12-31,MCHP
2013-01-01,2019-12-31,META
2013-01-01,2019-12-31,MSFT
2013-01-01,2019-12-31,MU
2013-01-01,2019-12-31,NFLX
2013-01-01,2019-12-31,NVDA
2013-01-01,2019-12-31,ORLY
2013-01-01,2019-12-31,PAYX
2013-01-01,2019-12-31,PYPL
2013-01-01,2019-12-31,QCOM
2013-01-01,2019-12-31,SBUX
2013-01-01,2019-12-31,TSLA
2013-01-01,2019-12-31,TXN
2013-01-01,2019-12-31,VRTX
2020-01-01,2099-12-31,AAPL
2020-01-01,2099-12-31,ADBE
2020-01-01,2099-12-31,ADI
2020-01-01,2099-12-31,AMAT
2020-01-01,2099-12-31,AMD
2020-01-01,2099-12-31,AMGN
2020-01-01,2099-12-31,AMZN
2020-01-01,2099-12-31,ASML
2020-01-01,2099-12-31,AVGO
2020-01-01,2099-12-31,AZN
2020-01-01,2099-12-31,BKNG
2020-01-01,2099-12-31,CDNS
2020-01-01,2099-12-31,CMCSA
2020-01-01,2099-12-31,COST
2020-01-01,2099-12-31,CSCO
2020-01-01,2099-12-31,CTAS
2020-01-01,2099-12-31,FTNT
2020-01-01,2099-12-31,GILD
2020-01-01,2099-12-31,GOOG
2020-01-01,2099-12-31,GOOGL
2020-01-01,2099-12-31,HON
2020-01-01,2099-12-31,IDXX
2020-01-01,2099-12-31,INTU
2020-01-01,2099-12-31,ISRG
2020-01-01,2099-12-31,KLAC
2020-01-01,2099-12-31,LIN
2020-01-01,2099-12-31,LRCX
2020-01-01,2099-12-31,MAR
2020-01-01,2099-12-31,MCHP
2020-01-01,2099-12-31,MELI
2020-01-01,2099-12-31,META
2020-01-01,2099-12-31,MSFT
2020-01-01,2099-12-31,MU
2020-01-01,2099-12-31,NFLX
2020-01-01,2099-12-31,NVDA
2020-01-01,2099-12-31,ORLY
2020-01-01,2099-12-31,PANW
2020-01-01,2099-12-31,PEP
2020-01-01,2099-12-31,PYPL
2020-01-01,2099-12-31,QCOM
2020-01-01,2099-12-31,REGN
2020-01-01,2099-12-31,SBUX
2020-01-01,2099-12-31,SNPS
2020-01-01,2099-12-31,TXN
2020-01-01,2099-12-31,VRTX
