name,family,feature_count,features,selection_top1_accuracy,selection_mean_brier,selection_mean_entropy,selection_stable_critical_recall,selection_raw_critical_recall,selection_mean_true_regime_probability,selection_mean_true_regime_rank,selection_mean_expected_l1_error,selection_min_regime_true_probability,selection_max_regime_true_rank,holdout_top1_accuracy,holdout_mean_brier,holdout_mean_entropy,holdout_stable_critical_recall,holdout_raw_critical_recall,holdout_mean_true_regime_probability,holdout_mean_true_regime_rank,holdout_mean_expected_l1_error,holdout_min_regime_true_probability,holdout_max_regime_true_rank,rank::selection_top1_accuracy,rank::selection_mean_brier,rank::selection_mean_entropy,rank::selection_stable_critical_recall,rank::selection_mean_true_regime_probability,rank::selection_mean_true_regime_rank,rank::selection_mean_expected_l1_error,rank::selection_min_regime_true_probability,rank::selection_max_regime_true_rank,selection_composite_rank
drop_spread_absolute,leave_one_out,11,"real_yield_structural_z,move_21d,breakeven_accel,core_capex_momentum,copper_gold_roc_126d,usdjpy_roc_126d,spread_21d,liquidity_252d,erp_absolute,pmi_momentum,labor_slack",0.1996161228406909,0.9442825348573336,0.7192632460709588,0.0,0.0,0.2434352716303192,2.2763915547024953,1.5131294567393616,0.2067376961851214,2.3448275862068964,0.6273234200743495,0.4952657542334192,0.6072945179726695,0.8064516129032258,0.8064516129032258,0.5190167510870467,1.5436802973977697,0.9619664978259064,0.3740955439514139,1.9005847953216377,26.0,33.0,68.0,1.0,35.0,3.0,35.0,3.0,3.0,23.0
qqq_core_9__move_21d__copper_gold_roc_126d__spread_21d,core_plus_optional,9,"real_yield_structural_z,move_21d,core_capex_momentum,copper_gold_roc_126d,spread_21d,liquidity_252d,erp_absolute,spread_absolute,pmi_momentum",0.1669865642994241,0.9383071386970032,0.7150036940212271,0.0,0.0,0.2439178759386196,2.3032629558541267,1.512164248122761,0.17845296050623,2.5019157088122603,0.6389405204460966,0.4835703826315799,0.5968546239993929,0.8010752688172043,0.8010752688172043,0.5279559595710039,1.471654275092937,0.944088080857992,0.3195839057964354,1.9064327485380117,46.0,5.0,66.0,1.0,29.0,6.0,29.0,15.0,15.0,23.555555555555557
qqq_core_10__move_21d__copper_gold_roc_126d__spread_21d__labor_slack,core_plus_optional,10,"real_yield_structural_z,move_21d,core_capex_momentum,copper_gold_roc_126d,spread_21d,liquidity_252d,erp_absolute,spread_absolute,pmi_momentum,labor_slack",0.1669865642994241,0.9383071386970032,0.7150036940212271,0.0,0.0,0.2439178759386196,2.3032629558541267,1.512164248122761,0.17845296050623,2.5019157088122603,0.6389405204460966,0.4835703826315799,0.5968546239993929,0.8010752688172043,0.8010752688172043,0.5279559595710039,1.471654275092937,0.944088080857992,0.3195839057964354,1.9064327485380117,46.0,5.0,66.0,1.0,29.0,6.0,29.0,15.0,15.0,23.555555555555557
qqq_core_8__copper_gold_roc_126d__usdjpy_roc_126d,core_plus_optional,8,"real_yield_structural_z,core_capex_momentum,copper_gold_roc_126d,usdjpy_roc_126d,liquidity_252d,erp_absolute,spread_absolute,pmi_momentum",0.2053742802303263,0.9443124221239684,0.6875356798589546,0.0,0.0,0.2467776341580773,2.412667946257198,1.5064447316838454,0.1693052074776947,2.78544061302682,0.633364312267658,0.474483432673457,0.592383021170207,0.610752688172043,0.610752688172043,0.5326860658663183,1.5232342007434945,0.9346278682673634,0.248910041602207,2.345029239766082,16.0,34.0,23.0,1.0,11.0,45.0,11.0,27.0,46.0,23.77777777777778
qqq_core_9__copper_gold_roc_126d__usdjpy_roc_126d__labor_slack,core_plus_optional,9,"real_yield_structural_z,core_capex_momentum,copper_gold_roc_126d,usdjpy_roc_126d,liquidity_252d,erp_absolute,spread_absolute,pmi_momentum,labor_slack",0.2053742802303263,0.9443124221239684,0.6875356798589546,0.0,0.0,0.2467776341580773,2.412667946257198,1.5064447316838454,0.1693052074776947,2.78544061302682,0.633364312267658,0.474483432673457,0.592383021170207,0.610752688172043,0.610752688172043,0.5326860658663183,1.5232342007434945,0.9346278682673634,0.248910041602207,2.345029239766082,16.0,34.0,23.0,1.0,11.0,45.0,11.0,27.0,46.0,23.77777777777778
qqq_core_9__breakeven_accel__copper_gold_roc_126d__usdjpy_roc_126d,core_plus_optional,9,"real_yield_structural_z,breakeven_accel,core_capex_momentum,copper_gold_roc_126d,usdjpy_roc_126d,liquidity_252d,erp_absolute,spread_absolute,pmi_momentum",0.2034548944337812,0.9458566529202048,0.6862171998924883,0.0,0.0,0.2465634206968293,2.412667946257198,1.5068731586063415,0.1690448065307805,2.781609195402299,0.6356877323420075,0.4720963408192611,0.5921984807713861,0.610752688172043,0.610752688172043,0.53385845578925,1.5199814126394051,0.9322830884215,0.2563232471064277,2.3333333333333335,22.0,36.0,19.0,1.0,13.0,45.0,13.0,29.0,44.0,24.666666666666668
qqq_core_10__breakeven_accel__copper_gold_roc_126d__usdjpy_roc_126d__labor_slack,core_plus_optional,10,"real_yield_structural_z,breakeven_accel,core_capex_momentum,copper_gold_roc_126d,usdjpy_roc_126d,liquidity_252d,erp_absolute,spread_absolute,pmi_momentum,labor_slack",0.2034548944337812,0.9458566529202048,0.6862171998924883,0.0,0.0,0.2465634206968293,2.412667946257198,1.5068731586063415,0.1690448065307805,2.781609195402299,0.6356877323420075,0.4720963408192611,0.5921984807713861,0.610752688172043,0.610752688172043,0.53385845578925,1.5199814126394051,0.9322830884215,0.2563232471064277,2.3333333333333335,22.0,36.0,19.0,1.0,13.0,45.0,13.0,29.0,44.0,24.666666666666668
drop_usdjpy_roc_126d,leave_one_out,11,"real_yield_structural_z,move_21d,breakeven_accel,core_capex_momentum,copper_gold_roc_126d,spread_21d,liquidity_252d,erp_absolute,spread_absolute,pmi_momentum,labor_slack",0.1669865642994241,0.93970778695948,0.7136995596307606,0.0,0.0,0.2437289334428856,2.3051823416506716,1.512542133114229,0.1782986444522761,2.5019157088122603,0.6370817843866171,0.4824305319828423,0.5960376229260692,0.8021505376344086,0.8021505376344086,0.5287719052808894,1.474907063197026,0.9424561894382212,0.3262158896069197,1.9064327485380117,46.0,11.0,64.0,1.0,31.0,10.0,31.0,17.0,15.0,25.11111111111111
qqq_core_10__move_21d__breakeven_accel__copper_gold_roc_126d__spread_21d,core_plus_optional,10,"real_yield_structural_z,move_21d,breakeven_accel,core_capex_momentum,copper_gold_roc_126d,spread_21d,liquidity_252d,erp_absolute,spread_absolute,pmi_momentum",0.1669865642994241,0.93970778695948,0.7136995596307606,0.0,0.0,0.2437289334428856,2.3051823416506716,1.512542133114229,0.1782986444522761,2.5019157088122603,0.6370817843866171,0.4824305319828423,0.5960376229260692,0.8021505376344086,0.8021505376344086,0.5287719052808894,1.474907063197026,0.9424561894382212,0.3262158896069197,1.9064327485380117,46.0,11.0,64.0,1.0,31.0,10.0,31.0,17.0,15.0,25.11111111111111
qqq_core_8__copper_gold_roc_126d__spread_21d,core_plus_optional,8,"real_yield_structural_z,core_capex_momentum,copper_gold_roc_126d,spread_21d,liquidity_252d,erp_absolute,spread_absolute,pmi_momentum",0.1708253358925144,0.9397850771329684,0.7133089024924263,0.0,0.0,0.2435971443052844,2.3032629558541267,1.512805711389431,0.1741917531969353,2.5172413793103448,0.641728624535316,0.4770985471824806,0.6038507323967722,0.8,0.8,0.5286328227837858,1.470724907063197,0.9427343544324284,0.3106065316289181,1.9298245614035088,40.0,13.0,62.0,1.0,33.0,6.0,33.0,19.0,21.0,25.333333333333332
