scenario,rows,approx_total_return,approx_max_drawdown,mean_target_beta,mean_turnover,left_tail_mean_beta,mean_expected_beta,beta_expectation_mae,beta_expectation_rmse,beta_expectation_within_5pct,mean_raw_beta,raw_beta_expected_mae,raw_beta_expected_within_5pct,mean_standard_beta,standard_beta_expected_mae,standard_beta_expected_within_5pct,posterior_vs_benchmark_process,probability_within_band_share,delta_within_band_share,acceleration_within_band_share,transition_probability_within_band_share,stable_vs_benchmark_regime,entropy_within_band_share,entropy_mae,transition_entropy_within_band_share,acceptance_pass,acceptance_reason,tractor_threshold,sidecar_threshold,calm_threshold
s5_tractor,1240.0,0.8547541668123748,-0.0826843722382633,0.6522680716202822,0.026412569253282295,0.6456177791069305,0.8780645161290324,0.2689939666363901,0.332338864464827,0.1403225806451613,0.8531916007008792,0.16782636235681597,0.267741935483871,0.6925937655158146,0.26052879327665796,0.03951612903225806,0.8275622752138303,0.6094234553995579,0.8828538045676338,0.949023128656121,0.96068253285418,0.8275622752138303,0.6422792670059588,0.15840153213067573,0.8815437191571242,True,PASS,0.25,0.15,0.1
s4s5_panorama,1240.0,0.6440100963066779,-0.08268437223826319,0.5296429138346859,0.0104304360791324,0.5069890277420915,0.8780645161290324,0.34846817471893204,0.41475223359191266,0.2161290322580645,0.8531916007008792,0.16782636235681597,0.267741935483871,0.6925937655158146,0.26052879327665796,0.03951612903225806,0.8275622752138303,0.6094234553995579,0.8828538045676338,0.949023128656121,0.96068253285418,0.8275622752138303,0.6422792670059588,0.15840153213067573,0.8815437191571242,False,Process Distortion,0.25,0.15,0.1
standard,1240.0,0.8893130648564243,-0.10670610397057056,0.6925937655158146,0.027010566136743033,0.7081306805050552,0.8780645161290324,0.26052879327665796,0.2995653673172221,0.03951612903225806,0.8531916007008792,0.16782636235681597,0.267741935483871,0.6925937655158146,0.26052879327665796,0.03951612903225806,0.8275622752138303,0.6094234553995579,0.8828538045676338,0.949023128656121,0.96068253285418,0.8275622752138303,0.6422792670059588,0.15840153213067573,0.8815437191571242,True,PASS,0.25,0.15,0.15
s4_sidecar,1240.0,0.6440100963066779,-0.08268437223826319,0.5296429138346859,0.0104304360791324,0.5069890277420915,0.8780645161290324,0.34846817471893204,0.41475223359191266,0.2161290322580645,0.8531916007008792,0.16782636235681597,0.267741935483871,0.6925937655158146,0.26052879327665796,0.03951612903225806,0.8275622752138303,0.6094234553995579,0.8828538045676338,0.949023128656121,0.96068253285418,0.8275622752138303,0.6422792670059588,0.15840153213067573,0.8815437191571242,False,Process Distortion,0.25,0.15,0.15
s5_tractor,1240.0,0.8547541668123748,-0.0826843722382633,0.6522680716202822,0.026412569253282295,0.6456177791069305,0.8780645161290324,0.2689939666363901,0.332338864464827,0.1403225806451613,0.8531916007008792,0.16782636235681597,0.267741935483871,0.6925937655158146,0.26052879327665796,0.03951612903225806,0.8275622752138303,0.6094234553995579,0.8828538045676338,0.949023128656121,0.96068253285418,0.8275622752138303,0.6422792670059588,0.15840153213067573,0.8815437191571242,True,PASS,0.25,0.15,0.15
s4s5_panorama,1240.0,0.7800339004192198,-0.08268437223826297,0.6168919430086438,0.03053063011174462,0.5362903225806451,0.8780645161290324,0.36899515376554964,0.4268743396792799,0.2032258064516129,0.8531916007008792,0.16782636235681597,0.267741935483871,0.6925937655158146,0.26052879327665796,0.03951612903225806,0.8275622752138303,0.6094234553995579,0.8828538045676338,0.949023128656121,0.96068253285418,0.8275622752138303,0.6422792670059588,0.15840153213067573,0.8815437191571242,False,Process Distortion,0.25,0.15,0.15
standard,1240.0,0.8893130648564243,-0.10670610397057056,0.6925937655158146,0.027010566136743033,0.7081306805050552,0.8780645161290324,0.26052879327665796,0.2995653673172221,0.03951612903225806,0.8531916007008792,0.16782636235681597,0.267741935483871,0.6925937655158146,0.26052879327665796,0.03951612903225806,0.8275622752138303,0.6094234553995579,0.8828538045676338,0.949023128656121,0.96068253285418,0.8275622752138303,0.6422792670059588,0.15840153213067573,0.8815437191571242,True,PASS,0.25,0.2,0.05
s4_sidecar,1240.0,0.7298996266334805,-0.08268437223826319,0.6129931948607867,0.028555748286756326,0.5865194154771459,0.8780645161290324,0.288713886804716,0.35783838939998797,0.18064516129032257,0.8531916007008792,0.16782636235681597,0.267741935483871,0.6925937655158146,0.26052879327665796,0.03951612903225806,0.8275622752138303,0.6094234553995579,0.8828538045676338,0.949023128656121,0.96068253285418,0.8275622752138303,0.6422792670059588,0.15840153213067573,0.8815437191571242,False,Process Distortion,0.25,0.2,0.05
s5_tractor,1240.0,0.8547541668123748,-0.0826843722382633,0.6522680716202822,0.026412569253282295,0.6456177791069305,0.8780645161290324,0.2689939666363901,0.332338864464827,0.1403225806451613,0.8531916007008792,0.16782636235681597,0.267741935483871,0.6925937655158146,0.26052879327665796,0.03951612903225806,0.8275622752138303,0.6094234553995579,0.8828538045676338,0.949023128656121,0.96068253285418,0.8275622752138303,0.6422792670059588,0.15840153213067573,0.8815437191571242,True,PASS,0.25,0.2,0.05
s4s5_panorama,1240.0,0.7298996266334805,-0.08268437223826319,0.6129931948607867,0.028555748286756326,0.5865194154771459,0.8780645161290324,0.288713886804716,0.35783838939998797,0.18064516129032257,0.8531916007008792,0.16782636235681597,0.267741935483871,0.6925937655158146,0.26052879327665796,0.03951612903225806,0.8275622752138303,0.6094234553995579,0.8828538045676338,0.949023128656121,0.96068253285418,0.8275622752138303,0.6422792670059588,0.15840153213067573,0.8815437191571242,False,Process Distortion,0.25,0.2,0.05
standard,1240.0,0.8893130648564243,-0.10670610397057056,0.6925937655158146,0.027010566136743033,0.7081306805050552,0.8780645161290324,0.26052879327665796,0.2995653673172221,0.03951612903225806,0.8531916007008792,0.16782636235681597,0.267741935483871,0.6925937655158146,0.26052879327665796,0.03951612903225806,0.8275622752138303,0.6094234553995579,0.8828538045676338,0.949023128656121,0.96068253285418,0.8275622752138303,0.6422792670059588,0.15840153213067573,0.8815437191571242,True,PASS,0.25,0.2,0.1
s4_sidecar,1240.0,0.7298996266334805,-0.08268437223826319,0.6129931948607867,0.028555748286756326,0.5865194154771459,0.8780645161290324,0.288713886804716,0.35783838939998797,0.18064516129032257,0.8531916007008792,0.16782636235681597,0.267741935483871,0.6925937655158146,0.26052879327665796,0.03951612903225806,0.8275622752138303,0.6094234553995579,0.8828538045676338,0.949023128656121,0.96068253285418,0.8275622752138303,0.6422792670059588,0.15840153213067573,0.8815437191571242,False,Process Distortion,0.25,0.2,0.1
