,tractor_prob,sidecar_prob,sidecar_valid
2011-05-24,0.15436785310121798,0.30776634153293003,True
2011-05-25,0.15161511606890293,0.30965535142969447,True
2011-05-26,0.13068165495042797,0.3060534051965486,True
2011-05-27,0.12872812931251082,0.30505782650327423,True
2011-05-30,0.12751511113475666,,False
2011-05-31,0.12758541786688457,0.2468321023852514,True
2011-06-01,0.12885607998133564,0.2404110756223643,True
2011-06-02,0.13666896192578776,0.24541752266386305,True
2011-06-03,0.13548941485856358,0.24465213726228024,True
2011-06-06,0.13478164964701944,0.24459866876236872,True
2011-06-07,0.13782326797647806,0.2449560439521395,True
2011-06-08,0.13545695044609177,0.24394191527993944,True
2011-06-09,0.13954888368872534,0.24931189903406287,True
2011-06-10,0.13389997044698085,0.2583928973522095,True
2011-06-13,0.14003756063189277,0.2652005049416373,True
2011-06-14,0.1443890297219378,0.2687949281652661,True
2011-06-15,0.13584080543706073,0.2641172773902768,True
2011-06-16,0.15380393222791966,0.27645197578349234,True
