date,protected_beta,overlay_beta,beta_overlay_multiplier,deployment_overlay_multiplier,overlay_state,target_beta,raw_target_beta,entropy,predicted_regime,actual_regime,raw_regime,stable_regime,deployment_state,lock_active,target_bucket,close
2025-06-24,0.932142585410341,0.932142585410341,1.0,1.0,NEUTRAL,0.9352778821349677,0.997467944413497,0.04885991215089702,MID_CYCLE,MID_CYCLE,MID_CYCLE,MID_CYCLE,DEPLOY_BASE,False,QQQ,537.7831420898438
2025-06-25,0.9373415412888397,0.9373415412888397,1.0,1.0,NEUTRAL,0.9352778821349677,0.9976912336922583,0.04500928820076109,MID_CYCLE,MID_CYCLE,MID_CYCLE,MID_CYCLE,DEPLOY_BASE,False,QQQ,539.157958984375
2025-06-26,0.9358099266797665,0.9358099266797665,1.0,1.0,NEUTRAL,0.9352778821349677,0.9975974578480575,0.046121128252723506,MID_CYCLE,MID_CYCLE,MID_CYCLE,MID_CYCLE,DEPLOY_BASE,False,QQQ,544.19921875
2025-06-27,0.9624122711175612,0.9624122711175612,1.0,1.0,NEUTRAL,0.9352778821349677,0.9988024725103867,0.026772177545736082,MID_CYCLE,MID_CYCLE,MID_CYCLE,MID_CYCLE,DEPLOY_BASE,False,QQQ,546.0623779296875
2025-06-30,0.9536968152677693,0.9536968152677693,1.0,1.0,NEUTRAL,0.9352778821349677,0.9983675638937205,0.03302018175113669,MID_CYCLE,MID_CYCLE,MID_CYCLE,MID_CYCLE,DEPLOY_BASE,False,QQQ,549.5991821289062
2025-07-01,0.9532276918828569,0.9532276918828569,1.0,1.0,NEUTRAL,0.9352778821349677,0.9983125983345074,0.03333538464244289,MID_CYCLE,MID_CYCLE,MID_CYCLE,MID_CYCLE,DEPLOY_BASE,False,QQQ,544.9664306640625
2025-07-02,0.9443007316524987,0.9362930614480856,0.99152,0.989097,PENALTY,0.9352778821349677,0.9980344700204233,0.03992162796565885,MID_CYCLE,MID_CYCLE,MID_CYCLE,MID_CYCLE,DEPLOY_BASE,False,QQQ,548.7623291015625
2025-07-03,0.9208329131301651,0.8599198159266047,0.93385,0.914951,PENALTY,0.9352778821349677,0.9968882821243638,0.057246217717350174,MID_CYCLE,MID_CYCLE,MID_CYCLE,MID_CYCLE,DEPLOY_BASE,False,QQQ,554.1622924804688
2025-07-04,0.9472239243185547,0.8951133473460937,0.944986,0.929267,PENALTY,0.9352778821349677,0.9981656904255053,0.037786897734301904,MID_CYCLE,MID_CYCLE,MID_CYCLE,MID_CYCLE,DEPLOY_BASE,False,QQQ,554.1622924804688
2025-07-07,0.925882175289061,0.925882175289061,1.0,1.0,NEUTRAL,0.9352778821349677,0.9971494122879085,0.053490540425663556,MID_CYCLE,MID_CYCLE,MID_CYCLE,MID_CYCLE,DEPLOY_BASE,False,QQQ,549.98779296875
2025-07-08,0.9478480346047653,0.9403107470335882,0.992048,0.989776,PENALTY,0.9352778821349677,0.9981954719834119,0.0373332922209149,MID_CYCLE,MID_CYCLE,MID_CYCLE,MID_CYCLE,DEPLOY_BASE,False,QQQ,550.2966918945312
2025-07-09,0.9288421419024154,0.9288421419024154,1.0,1.0,NEUTRAL,0.9352778821349677,0.9972909053207906,0.051290482228083564,MID_CYCLE,MID_CYCLE,MID_CYCLE,MID_CYCLE,DEPLOY_BASE,False,QQQ,554.192138671875
2025-07-10,0.9203701465068195,0.9072999700562762,0.985799,0.981741,PENALTY,0.9352778821349677,0.9968608943343112,0.05758900558185925,MID_CYCLE,MID_CYCLE,MID_CYCLE,MID_CYCLE,DEPLOY_BASE,False,QQQ,553.3951416015625
2025-07-11,0.9505499307401631,0.9505499307401631,1.0,1.0,NEUTRAL,0.9352778821349677,0.9982689711932093,0.03533308654552452,MID_CYCLE,MID_CYCLE,MID_CYCLE,MID_CYCLE,DEPLOY_BASE,False,QQQ,552.1498413085938
