date,target_beta,raw_target_beta,entropy,predicted_regime,actual_regime,raw_regime,stable_regime,deployment_state,lock_active,target_bucket,close
2022-10-19,0.33916081419095806,0.5559639733960321,0.34710661713245405,BUST,BUST,BUST,BUST,DEPLOY_PAUSE,False,CASH,264.73114013671875
2022-10-20,0.33916081419095806,0.5615053695768351,0.36593916677057636,BUST,BUST,BUST,BUST,DEPLOY_PAUSE,False,CASH,263.38043212890625
2022-10-21,0.33916081419095806,0.5828363196526541,0.42528075355374595,BUST,BUST,BUST,BUST,DEPLOY_PAUSE,False,CASH,269.5561218261719
2022-10-24,0.33916081419095806,0.5823047174144335,0.42426659581665277,BUST,BUST,BUST,BUST,DEPLOY_PAUSE,False,CASH,272.52166748046875
2022-10-25,0.33916081419095806,0.586720224137581,0.4343024408833616,BUST,BUST,BUST,BUST,DEPLOY_PAUSE,False,CASH,278.1589660644531
2022-10-26,0.33916081419095806,0.5558459908773524,0.3466993255010187,BUST,BUST,BUST,BUST,DEPLOY_PAUSE,False,CASH,272.0126342773437
2022-10-27,0.33916081419095806,0.6038400177722889,0.4669271683788139,BUST,BUST,BUST,BUST,DEPLOY_PAUSE,False,CASH,267.06036376953125
2022-10-28,0.33916081419095806,0.591839831528876,0.44458264052484703,BUST,BUST,BUST,BUST,DEPLOY_PAUSE,False,CASH,275.23260498046875
2022-10-31,0.33916081419095806,0.5488848382151258,0.32093733947700354,BUST,BUST,BUST,BUST,DEPLOY_PAUSE,False,CASH,272.0322570800781
2022-11-01,0.33916081419095806,0.5516853556992858,0.3316357537015485,BUST,BUST,BUST,BUST,DEPLOY_PAUSE,False,CASH,269.252685546875
2022-11-02,0.33916081419095806,0.518449101306837,0.16674253339315726,BUST,BUST,BUST,BUST,DEPLOY_PAUSE,False,CASH,260.0234680175781
2022-11-03,0.33916081419095806,0.5291770436129126,0.23024267925678543,BUST,BUST,BUST,BUST,DEPLOY_PAUSE,False,CASH,254.9439697265625
2022-11-04,0.33916081419095806,0.5244038300922743,0.20348095125956212,BUST,BUST,BUST,BUST,DEPLOY_PAUSE,False,CASH,259.044677734375
2022-11-07,0.33916081419095806,0.5361313218364131,0.2661066685848607,BUST,BUST,BUST,BUST,DEPLOY_PAUSE,False,CASH,261.892822265625
2022-11-08,0.33916081419095806,0.5314557705559745,0.24218998683021523,BUST,BUST,BUST,BUST,DEPLOY_PAUSE,False,CASH,263.8013000488281
2022-11-09,0.33916081419095806,0.577250892833065,0.42199220243997654,BUST,BUST,BUST,BUST,DEPLOY_PAUSE,False,CASH,257.7137145996094
2022-11-10,0.33916081419095806,0.5505680491928082,0.32769521432467397,BUST,BUST,BUST,BUST,DEPLOY_PAUSE,False,CASH,276.73004150390625
2022-11-11,0.33916081419095806,0.5794458356464828,0.4362844725138167,BUST,BUST,BUST,BUST,DEPLOY_PAUSE,False,CASH,281.8291320800781
2022-11-14,0.33916081419095806,0.5777840515459777,0.43177857913219425,BUST,BUST,BUST,BUST,DEPLOY_PAUSE,False,CASH,279.36279296875
2022-11-15,0.33916081419095806,0.5892817191279516,0.45353709018040167,BUST,BUST,BUST,BUST,DEPLOY_PAUSE,False,CASH,283.22869873046875
2022-11-16,0.33916081419095806,0.5867307902531071,0.44537218237027204,BUST,BUST,BUST,BUST,DEPLOY_PAUSE,False,CASH,279.36279296875
2022-11-17,0.33916081419095806,0.5813800154999984,0.43076384203900614,BUST,BUST,BUST,BUST,DEPLOY_PAUSE,False,CASH,278.7461853027344
2022-11-18,0.33916081419095806,0.565607310108183,0.3816756706986684,BUST,BUST,BUST,BUST,DEPLOY_PAUSE,False,CASH,278.7559814453125
2022-11-21,0.33916081419095806,0.5709578753221304,0.40167508421919346,BUST,BUST,BUST,BUST,DEPLOY_PAUSE,False,CASH,275.88836669921875
