date,target_beta,raw_target_beta,entropy,predicted_regime,actual_regime,raw_regime,stable_regime,deployment_state,lock_active,target_bucket,close,actual_regime_probability,brier,prob_MID_CYCLE,prob_LATE_CYCLE,prob_BUST,prob_RECOVERY
2018-11-29,0.3144133759444759,0.6580070828040046,0.5012076653975721,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,BUST,DEPLOY_PAUSE,False,CASH,160.26632690429688,0.5259491340736548,0.4490973826384366,2.855342583752659e-18,0.5259491340736548,0.4736802949564983,0.0003705709698468197
2018-11-30,0.3144133759444759,0.6970514094324622,0.5176581908451482,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,DEPLOY_SLOW,True,CASH,161.4291534423828,0.6295510532300651,0.2647287015768895,4.0046034392152564e-17,0.6295510532300651,0.3568054576641969,0.013643489105737913
2018-12-03,0.3144133759444759,0.6012624407857415,0.46333367999195,BUST,LATE_CYCLE,BUST,BUST,DEPLOY_SLOW,False,CASH,164.2503662109375,0.33670794972077195,0.879360168403438,1.3472485475442354e-20,0.33670794972077195,0.6628752904967115,0.0004167597825165506
2018-12-04,0.3144133759444759,0.6739900055565707,0.4923417737875854,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,BUST,DEPLOY_SLOW,False,CASH,157.95028686523438,0.5794765401596007,0.35347396318994917,5.622098305371991e-17,0.5794765401596007,0.42027838732591505,0.00024507251448416744
2018-12-05,0.3144133759444759,0.6489136021261457,0.5016739186895303,BUST,LATE_CYCLE,BUST,BUST,DEPLOY_SLOW,False,CASH,157.95028686523438,0.4958249033709079,0.5081060122164127,2.30196898185389e-19,0.4958249033709079,0.5038982114376366,0.00027688519145551295
2018-12-06,0.3144133759444759,0.6636220969494039,0.5002639281816494,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,BUST,DEPLOY_SLOW,False,CASH,159.0654296875,0.5442923421615914,0.414831606565951,6.875852510273454e-19,0.5442923421615914,0.4551503340035312,0.0005573238348773807
2018-12-07,0.3144133759444759,0.5800777612464694,0.4187488287491827,BUST,LATE_CYCLE,BUST,BUST,DEPLOY_SLOW,False,CASH,153.81373596191406,0.2668509505710977,1.0749601324531153,6.259124280878552e-25,0.2668509505710977,0.7331115893036687,3.7460125233483994e-05
2018-12-10,0.3144133759444759,0.6011159527946958,0.46198139424025864,BUST,LATE_CYCLE,BUST,BUST,DEPLOY_SLOW,False,CASH,155.42453002929688,0.3367029627461199,0.8796936851822277,5.764239558857821e-24,0.3367029627461199,0.6631219306357804,0.000175106618099686
2018-12-11,0.3144133759444759,0.5947488764147423,0.45092962328376235,BUST,LATE_CYCLE,BUST,BUST,DEPLOY_SLOW,False,CASH,155.939208984375,0.3154545736955341,0.9369482373060487,6.197167111289466e-25,0.3154545736955341,0.6843579191276626,0.0001875071768033366
2018-12-12,0.3144133759444759,0.6407899956512974,0.5020660996577553,BUST,LATE_CYCLE,BUST,BUST,DEPLOY_SLOW,False,CASH,157.3116912841797,0.4680296288761977,0.565309966323249,1.3537298690904569e-21,0.4680296288761977,0.531335192809739,0.0006351783140633644
