date,protected_beta,overlay_beta,beta_overlay_multiplier,deployment_overlay_multiplier,overlay_state,target_beta,raw_target_beta,entropy,predicted_regime,actual_regime,raw_regime,stable_regime,deployment_state,lock_active,target_bucket,close
2024-12-17,0.713722222963027,0.6743768579777442,0.944873,0.929122,PENALTY,0.6816914118776208,0.9377878217283019,0.486602129440086,MID_CYCLE,LATE_CYCLE,MID_CYCLE,MID_CYCLE,DEPLOY_BASE,False,QQQ,531.5678100585938
2024-12-18,0.7837698702535358,0.7837698702535358,1.0,1.0,NEUTRAL,0.6816914118776208,0.9537690963670892,0.41260632619337606,MID_CYCLE,LATE_CYCLE,MID_CYCLE,MID_CYCLE,DEPLOY_BASE,False,QQQ,512.3905029296875
2024-12-19,0.7701978342899737,0.7701978342899737,1.0,1.0,NEUTRAL,0.6816914118776208,0.9509019298679896,0.42753004882434154,MID_CYCLE,LATE_CYCLE,MID_CYCLE,MID_CYCLE,DEPLOY_BASE,False,QQQ,510.1087036132813
2024-12-20,0.7879682573651894,0.7879682573651894,1.0,1.0,NEUTRAL,0.6816914118776208,0.9545876832956243,0.40786626019379996,MID_CYCLE,LATE_CYCLE,MID_CYCLE,MID_CYCLE,DEPLOY_BASE,False,QQQ,514.5631713867188
2024-12-23,0.8156339769550568,0.7948043164515786,0.974462,0.967165,PENALTY,0.6816914118776208,0.9604720768807002,0.3765074905096775,MID_CYCLE,LATE_CYCLE,MID_CYCLE,MID_CYCLE,DEPLOY_BASE,False,QQQ,519.5764770507812
2024-12-24,0.7699583424025166,0.6990413292755329,0.907895,0.881579,PENALTY,0.6816914118776208,0.9505790039082457,0.42750097924501734,MID_CYCLE,LATE_CYCLE,MID_CYCLE,MID_CYCLE,DEPLOY_BASE,False,QQQ,526.621826171875
2024-12-25,0.8438379054872163,0.7509203822003024,0.889887,0.858427,PENALTY,0.6816914118776208,0.9653863546908972,0.3416172284547539,MID_CYCLE,LATE_CYCLE,MID_CYCLE,MID_CYCLE,DEPLOY_BASE,False,QQQ,526.621826171875
2024-12-26,0.8686667332671962,0.7842340641270913,0.902802,0.875031,PENALTY,0.6816914118776208,0.9704500705456527,0.30998422892601424,MID_CYCLE,LATE_CYCLE,MID_CYCLE,MID_CYCLE,DEPLOY_BASE,False,QQQ,526.2640991210938
2024-12-27,0.8320039934740736,0.8232072152510722,0.989427,0.986406,PENALTY,0.6816914118776208,0.9630829168927013,0.3562004391782595,MID_CYCLE,LATE_CYCLE,MID_CYCLE,MID_CYCLE,DEPLOY_BASE,False,QQQ,519.2683715820312
2024-12-30,0.8585020693515191,0.8579904021181856,0.999404,0.999233,PENALTY,0.6816914118776208,0.9685225882849112,0.3233787267347926,MID_CYCLE,LATE_CYCLE,MID_CYCLE,MID_CYCLE,DEPLOY_BASE,False,QQQ,512.3621215820312
2024-12-31,0.816936005226321,0.816936005226321,1.0,1.0,NEUTRAL,0.6816914118776208,0.9600734106767427,0.37418517920453526,MID_CYCLE,LATE_CYCLE,MID_CYCLE,MID_CYCLE,DEPLOY_BASE,False,QQQ,508.0097961425781
2025-01-01,0.9096541662470892,0.9096541662470892,1.0,1.0,NEUTRAL,0.9096541662470892,0.9792480679855627,0.25285007212455907,MID_CYCLE,MID_CYCLE,MID_CYCLE,MID_CYCLE,DEPLOY_BASE,False,QQQ,508.0097961425781
2025-01-02,0.9007964153658239,0.9007964153658239,1.0,1.0,NEUTRAL,0.9096541662470892,0.9775215795528835,0.2662497018660244,MID_CYCLE,MID_CYCLE,MID_CYCLE,MID_CYCLE,DEPLOY_BASE,False,QQQ,507.0160827636719
2025-01-03,0.9141624118708598,0.9141624118708598,1.0,1.0,NEUTRAL,0.9096541662470892,0.9800930507161377,0.24575140862738798,MID_CYCLE,MID_CYCLE,MID_CYCLE,MID_CYCLE,DEPLOY_BASE,False,QQQ,515.3135375976562
2025-01-06,0.8945562967418585,0.8935409753450565,0.998865,0.998541,PENALTY,0.9096541662470892,0.976078433925341,0.27502031825215717,MID_CYCLE,MID_CYCLE,MID_CYCLE,MID_CYCLE,DEPLOY_BASE,False,QQQ,521.2359619140625
2025-01-07,0.9034704040033668,0.9034704040033668,1.0,1.0,NEUTRAL,0.9096541662470892,0.9779992039551534,0.26218692484102757,MID_CYCLE,MID_CYCLE,MID_CYCLE,MID_CYCLE,DEPLOY_BASE,False,QQQ,511.9348754882813
2025-01-08,0.9268953751668703,0.9268953751668703,1.0,1.0,NEUTRAL,0.9096541662470892,0.9828726159520368,0.22550779794873083,MID_CYCLE,MID_CYCLE,MID_CYCLE,MID_CYCLE,DEPLOY_BASE,False,QQQ,512.0242919921875
2025-01-09,0.9189208655485647,0.9189208655485647,1.0,1.0,NEUTRAL,0.9096541662470892,0.9810348989674061,0.2381685618610664,MID_CYCLE,MID_CYCLE,MID_CYCLE,MID_CYCLE,DEPLOY_BASE,False,QQQ,512.0242919921875
2025-01-10,0.9091518779880685,0.9091518779880685,1.0,1.0,NEUTRAL,0.9096541662470892,0.9787131461928464,0.25286022516515844,MID_CYCLE,MID_CYCLE,MID_CYCLE,MID_CYCLE,DEPLOY_BASE,False,QQQ,503.9952087402344
2025-01-13,0.9147365286926885,0.9147365286926885,1.0,1.0,NEUTRAL,0.9096541662470892,0.9798704201202127,0.24423812520267327,MID_CYCLE,MID_CYCLE,MID_CYCLE,MID_CYCLE,DEPLOY_BASE,False,QQQ,502.37548828125
2025-01-14,0.9346244960120322,0.9346244960120322,1.0,1.0,NEUTRAL,0.9096541662470892,0.9841448387770471,0.21159849688560423,MID_CYCLE,MID_CYCLE,MID_CYCLE,MID_CYCLE,DEPLOY_BASE,False,QQQ,501.8985290527344
2025-01-15,0.9116031540387295,0.911120004367089,0.99947,0.999319,PENALTY,0.9096541662470892,0.9792022012160206,0.2490711118402714,MID_CYCLE,MID_CYCLE,MID_CYCLE,MID_CYCLE,DEPLOY_BASE,False,QQQ,513.4452514648438
2025-01-16,0.9111399186560797,0.9111399186560797,1.0,1.0,NEUTRAL,0.9096541662470892,0.9793087968878387,0.25014320569674375,MID_CYCLE,MID_CYCLE,MID_CYCLE,MID_CYCLE,DEPLOY_BASE,False,QQQ,509.84814453125
2025-01-17,0.9189042960282329,0.9189042960282329,1.0,1.0,NEUTRAL,0.9096541662470892,0.9808448083727873,0.23784836510906754,MID_CYCLE,MID_CYCLE,MID_CYCLE,MID_CYCLE,DEPLOY_BASE,False,QQQ,518.45361328125
2025-01-20,0.8837249169469678,0.8837249169469678,1.0,1.0,REWARD,0.9096541662470892,0.9741222999294099,0.2906219341888975,MID_CYCLE,MID_CYCLE,MID_CYCLE,MID_CYCLE,DEPLOY_BASE,False,QQQ,518.45361328125
2025-01-21,0.9084176326407031,0.9084176326407031,1.0,1.0,NEUTRAL,0.9096541662470892,0.9791597796187357,0.25501890528295296,MID_CYCLE,MID_CYCLE,MID_CYCLE,MID_CYCLE,DEPLOY_BASE,False,QQQ,521.4942626953125
2025-01-22,0.9026188254517634,0.9016024766543048,0.998874,0.998552,PENALTY,0.9096541662470892,0.9780610221326407,0.2638458085039187,MID_CYCLE,MID_CYCLE,MID_CYCLE,MID_CYCLE,DEPLOY_BASE,False,QQQ,528.1619873046875
2025-01-23,0.8806039289777866,0.8734217233330437,0.991844,0.989514,PENALTY,0.9096541662470892,0.9736236181795684,0.2951020348176341,MID_CYCLE,MID_CYCLE,MID_CYCLE,MID_CYCLE,DEPLOY_BASE,False,QQQ,529.2849731445312
2025-01-24,0.8957497267391733,0.8734670565368097,0.975124,0.968017,PENALTY,0.9096541662470892,0.976385446975584,0.273409397568994,MID_CYCLE,MID_CYCLE,MID_CYCLE,MID_CYCLE,DEPLOY_BASE,False,QQQ,526.2938842773438
2025-01-27,0.9220303144178035,0.9220303144178035,1.0,1.0,NEUTRAL,0.9096541662470892,0.98161601821686,0.23304123092891835,MID_CYCLE,MID_CYCLE,MID_CYCLE,MID_CYCLE,DEPLOY_BASE,False,QQQ,510.9710388183594
2025-01-28,0.9294708270170301,0.920895529166971,0.990774,0.988139,PENALTY,0.9096541662470892,0.9827909280392593,0.2199439511772949,MID_CYCLE,MID_CYCLE,MID_CYCLE,MID_CYCLE,DEPLOY_BASE,False,QQQ,518.5230712890625
2025-01-29,0.932278511470156,0.9140254304940818,0.980421,0.974826,PENALTY,0.9096541662470892,0.9834002844769942,0.21516770422586048,MID_CYCLE,MID_CYCLE,MID_CYCLE,MID_CYCLE,DEPLOY_BASE,False,QQQ,517.54931640625
2025-01-30,0.9509491711718566,0.927893408516795,0.975755,0.968828,PENALTY,0.9096541662470892,0.987357999490734,0.1805101009080452,MID_CYCLE,MID_CYCLE,MID_CYCLE,MID_CYCLE,DEPLOY_BASE,False,QQQ,519.7553100585938
2025-01-31,0.9377480707285796,0.9376674243944969,0.999914,0.99989,PENALTY,0.9096541662470892,0.9844051696931925,0.20520665260246623,MID_CYCLE,MID_CYCLE,MID_CYCLE,MID_CYCLE,DEPLOY_BASE,False,QQQ,519.0000610351562
2025-02-03,0.9513813752426159,0.9513813752426159,1.0,1.0,REWARD,0.9096541662470892,0.9870696883663089,0.17870802015216614,MID_CYCLE,MID_CYCLE,MID_CYCLE,MID_CYCLE,DEPLOY_BASE,False,QQQ,514.846435546875
2025-02-04,0.9464941580743274,0.9276504058812256,0.980091,0.974403,PENALTY,0.9096541662470892,0.9857952503989935,0.18783654371379907,MID_CYCLE,MID_CYCLE,MID_CYCLE,MID_CYCLE,DEPLOY_BASE,False,QQQ,521.1663208007812
2025-02-05,0.9486741598668015,0.9129850379726124,0.96238,0.951631,PENALTY,0.9096541662470892,0.9862659225323092,0.18357934883380117,MID_CYCLE,MID_CYCLE,MID_CYCLE,MID_CYCLE,DEPLOY_BASE,False,QQQ,523.5313720703125
2025-02-06,0.957278759984949,0.9066377563029853,0.947099,0.931984,PENALTY,0.9096541662470892,0.9882471118484412,0.16616624235287059,MID_CYCLE,MID_CYCLE,MID_CYCLE,MID_CYCLE,DEPLOY_BASE,False,QQQ,526.2640991210938
2025-02-07,0.9543127473048585,0.9319398392570434,0.976556,0.969858,PENALTY,0.9096541662470892,0.987584866906713,0.17239800583464074,MID_CYCLE,MID_CYCLE,MID_CYCLE,MID_CYCLE,DEPLOY_BASE,False,QQQ,519.6260986328125
2025-02-10,0.9556956869345512,0.879051759929461,0.919803,0.89689,PENALTY,0.9096541662470892,0.9878309186036676,0.1693554508542948,MID_CYCLE,MID_CYCLE,MID_CYCLE,MID_CYCLE,DEPLOY_BASE,False,QQQ,525.916259765625
2025-02-11,0.9660689346692681,0.8820325301802578,0.913012,0.888158,PENALTY,0.9096541662470892,0.9903031542729197,0.14658307021635086,MID_CYCLE,MID_CYCLE,MID_CYCLE,MID_CYCLE,DEPLOY_BASE,False,QQQ,524.6641845703125
2025-02-12,0.9544513267562946,0.9284940684738304,0.972804,0.965034,PENALTY,0.9096541662470892,0.9874428050018662,0.17166941366767463,MID_CYCLE,MID_CYCLE,MID_CYCLE,MID_CYCLE,DEPLOY_BASE,False,QQQ,524.97216796875
2025-02-13,0.9537180333874369,0.9181577027945529,0.962714,0.952061,PENALTY,0.9096541662470892,0.9872552481827017,0.17312478457778033,MID_CYCLE,MID_CYCLE,MID_CYCLE,MID_CYCLE,DEPLOY_BASE,False,QQQ,532.5244140625
2025-02-14,0.961746407222885,0.8973622939913489,0.933055,0.913928,PENALTY,0.9096541662470892,0.9891182041082052,0.15600418721149484,MID_CYCLE,MID_CYCLE,MID_CYCLE,MID_CYCLE,DEPLOY_BASE,False,QQQ,534.7601928710938
