date,variant,shadow_state,prob_RECOVERY,prob_MID_CYCLE,prob_LATE_CYCLE,prob_BUST,entropy,effective_entropy,orthogonal_confidence,fdas_triggered,w_base,m_entropy,m_fdas,w_final_raw,w_final
2019-07-29,barbell_balance,MID_CYCLE,0.09532810788582946,0.5772339992721528,0.07195474040534558,0.2554831524366722,0.7785165683027735,0.7066227554101336,0.4617359207227534,False,1.0,0.8950988003271994,1.0,0.8950988003271994,0.8950988003271994
2019-07-30,barbell_balance,MID_CYCLE,0.03207235720007993,0.5829914714658603,0.08446004012115108,0.30047613121290884,0.7176852160359247,0.6557826318218144,0.4312655662326737,False,1.0,1.0,1.0,1.0,1.0
2019-07-31,barbell_balance,BUST,0.014536933297998345,0.35240693985642313,0.13713576351564993,0.49592036332992856,0.7569272325492291,0.7569272325492291,0.4472654028694246,False,0.3,0.7819137267642345,1.0,0.23457411802927036,0.5
2019-08-01,barbell_balance,BUST,0.017218738843253294,0.19037649405219498,0.17348120286616905,0.6189235642383827,0.7116478291726864,0.7116478291726864,0.4403961153143145,False,0.3,0.8837923843614556,1.0,0.26513771530843666,0.5
2019-08-02,barbell_balance,BUST,0.004605945014795529,0.12607503946843104,0.16037276916420432,0.7089462463525692,0.5938500944334508,0.5938500944334508,0.4316451456430448,False,0.3,1.0,1.0,0.3,0.5
2019-08-05,barbell_balance,BUST,0.0009480034216121507,0.020772857224635413,0.14658225556340201,0.8316968837903504,0.3764057999633724,0.3764057999633724,0.44254782546753363,False,0.3,1.0,1.0,0.3,0.5
2019-08-06,barbell_balance,BUST,0.0008967340733209725,0.015510022977298228,0.08878885956590593,0.8948043833834748,0.2779860011938984,0.2779860011938984,0.419166780257247,False,0.3,1.0,1.0,0.3,0.5
2019-08-07,barbell_balance,BUST,0.0009616015716554585,0.018998159303154943,0.11597253926256845,0.8640676998626211,0.33042985915613354,0.33042985915613354,0.4271241919931866,False,0.3,1.0,1.0,0.3,0.5
2019-08-08,barbell_balance,BUST,0.003560402922381403,0.055977007424409975,0.09274977311998035,0.8477128165332283,0.3910013582190412,0.3910013582190412,0.46193117036573716,False,0.3,1.0,1.0,0.3,0.5
2019-08-09,barbell_balance,BUST,0.003929025539205243,0.03597540161846854,0.1325072959184749,0.8275882769238513,0.4081419212044971,0.4081419212044971,0.5052295963607466,False,0.3,1.0,1.0,0.3,0.5
2019-08-12,barbell_balance,BUST,0.0016814873176416753,0.017166276295190814,0.12155717906951272,0.8595950573176548,0.33667926656890906,0.33667926656890906,0.5132451769263249,False,0.3,1.0,1.0,0.3,0.5
2019-08-13,barbell_balance,BUST,0.005229407936826611,0.03725415182831088,0.10005958397052522,0.8574568562643372,0.36950156310351273,0.36950156310351273,0.501674449212303,False,0.3,1.0,1.0,0.3,0.5
2019-08-14,barbell_balance,BUST,0.003928270623171493,0.01834524965654806,0.12039854385173861,0.8573279358685418,0.3476622825387565,0.3476622825387565,0.5631912595388227,False,0.3,1.0,1.0,0.3,0.5
2019-08-15,barbell_balance,BUST,0.002137445970376048,0.00659996266792482,0.07578476364304092,0.9154778277186583,0.23273317186714534,0.23273317186714534,0.5150369991607266,False,0.3,1.0,1.0,0.3,0.5
2019-08-16,barbell_balance,BUST,0.006589332057933596,0.016308807776885453,0.07397657907219414,0.9031252810929868,0.2776322668751705,0.2776322668751705,0.5458043283638401,False,0.3,1.0,1.0,0.3,0.5
2019-08-19,barbell_balance,BUST,0.00961266664415494,0.03292087702589595,0.08381716512858246,0.8736492912013666,0.3482881247103939,0.3482881247103939,0.5676322823174244,False,0.3,1.0,1.0,0.3,0.5
2019-08-20,barbell_balance,BUST,0.005972701269161081,0.033174769987456096,0.09709947099039601,0.8637530577529869,0.3581678134636004,0.3581678134636004,0.5603743494215976,False,0.3,1.0,1.0,0.3,0.5
2019-08-21,barbell_balance,BUST,0.006366361501110936,0.05324680665871487,0.12619371851348846,0.8141931133266858,0.44502297553148107,0.44502297553148107,0.5506042190604158,False,0.3,1.0,1.0,0.3,0.5
2019-08-22,barbell_balance,BUST,0.010416089667378179,0.10040544348552549,0.17227381459457733,0.716904652252519,0.5914304077657803,0.5914304077657803,0.5568486924856682,False,0.3,1.0,1.0,0.3,0.5
2019-08-23,barbell_balance,BUST,0.01904452062042553,0.007473545213241906,0.19856507795143105,0.7749168562149016,0.45491032165031414,0.45491032165031414,0.5136226063820343,False,0.3,1.0,1.0,0.3,0.5
2019-08-26,barbell_balance,BUST,0.015327767800278292,0.023099858869176128,0.19182875441982694,0.7697436189107186,0.4827676518279552,0.4827676518279552,0.5186851043943648,False,0.3,1.0,1.0,0.3,0.5
