date,target_beta,final_beta_base,raw_target_beta,raw_beta_base,entropy,predicted_regime,actual_regime,raw_regime,stable_regime,deployment_state,lock_active,target_bucket,close,daily_price_return,return_l4,return_base
2022-12-16,0.3046499032618852,0.33916081419095806,0.6103232609042264,0.5871283499408675,0.5012106469164748,BUST,BUST,BUST,BUST,DEPLOY_PAUSE,False,QQQ,268.4109802246094,-0.009534728707643825,-0.006352202545059004,-0.003233806351574381
2022-12-19,0.3046499032618852,0.33916081419095806,1.2739012668739904,0.6383781550775282,0.6136216066610448,BUST,BUST,BUST,BUST,DEPLOY_PAUSE,False,QQQ,264.6388854980469,-0.014053429272550488,-0.004281375868380252,-0.004766372514253267
2022-12-20,0.3046499032618852,0.33916081419095806,1.8597303379557617,0.7787152349143089,0.6985485712353734,BUST,BUST,BUST,BUST,DEPLOY_PAUSE,False,QQQ,264.432861328125,-0.0007785105712417861,-0.00023717317021716513,-0.00026404027919863204
2022-12-21,0.3046499032618852,0.33916081419095806,0.9200016257227179,0.5496601269659467,0.3433454592843966,BUST,BUST,BUST,BUST,DEPLOY_PAUSE,False,CASH,268.2688293457031,0.014506396815856526,0.00441937238662921,0.004920001355043021
2022-12-22,0.3046499032618852,0.33916081419095806,0.4310570332784674,0.539665540135564,0.2963399073078724,BUST,BUST,BUST,BUST,DEPLOY_PAUSE,True,CASH,261.70550537109375,-0.024465473646778313,-0.007453404179747214,-0.00829772996160876
2022-12-23,0.3046499032618852,0.33916081419095806,1.2108047917402145,0.6206518567976732,0.5732190674923193,BUST,BUST,BUST,BUST,DEPLOY_PAUSE,False,CASH,262.2941589355469,0.0022492975973831264,0.0006852482954499602,0.0007628736044862269
2022-12-26,0.3046499032618852,0.33916081419095806,1.1318836414897953,0.571706160193538,0.43465258191962314,BUST,BUST,BUST,BUST,DEPLOY_PAUSE,False,CASH,262.2941589355469,0.0,0.0,0.0
2022-12-27,0.5580105472670999,0.33916081419095806,0.7602743163349207,0.5261687148126454,0.22311383156556605,BUST,BUST,BUST,BUST,DEPLOY_PAUSE,False,CASH,258.58575439453125,-0.01413834206627107,-0.004307244542772923,-0.004795171606506768
2022-12-28,0.5580105472670999,0.33916081419095806,1.1151226802240513,0.545488846909152,0.32724096335665065,BUST,BUST,BUST,BUST,DEPLOY_PAUSE,False,CASH,255.17173767089844,-0.013202648118132432,-0.007367216901774025,-0.0044778208852225155
2022-12-29,0.5580105472670999,0.33916081419095806,0.40218588807948263,0.5204484829025274,0.18348262195659518,BUST,BUST,BUST,BUST,DEPLOY_PAUSE,False,QQQ,261.3916320800781,0.024375326460337243,0.013601689257947006,0.008267155568458383
2022-12-30,0.5580105472670999,0.33916081419095806,1.000650358338015,0.5349463662860652,0.26499556170371025,BUST,BUST,BUST,BUST,DEPLOY_PAUSE,True,QQQ,261.2346496582031,-0.0006005640678922175,-0.000335121084193492,-0.0002036877982401583
2023-01-02,0.5580105472670999,0.33916081419095806,1.8878116586175888,0.9905072481776918,0.39077556617122267,RECOVERY,MID_CYCLE,RECOVERY,RECOVERY,DEPLOY_FAST,False,QQQ,261.2346496582031,0.0,0.0,0.0
2023-01-03,1.5003239837857647,0.33916081419095806,2.3318405094124084,1.020168191942422,0.3180975212411399,RECOVERY,MID_CYCLE,RECOVERY,RECOVERY,DEPLOY_FAST,False,QLD,259.4687194824219,-0.006759938538366872,-0.0037721170032860574,-0.0022927062585533435
2023-01-04,1.5003239837857647,0.33916081419095806,2.2683739976103494,1.0296467337637178,0.2963450677110391,RECOVERY,MID_CYCLE,RECOVERY,RECOVERY,DEPLOY_FAST,True,QLD,260.7048034667969,0.00476390366762014,0.0071473989289754635,0.0016157294466373378
2023-01-05,1.5003239837857647,0.33916081419095806,1.7205894927733538,1.0379424260517096,0.2732648831589554,RECOVERY,MID_CYCLE,RECOVERY,RECOVERY,DEPLOY_FAST,False,QLD,256.6236572265625,-0.01565428095671484,-0.02348649316828004,-0.005309318674853415
2023-01-06,0.3251183648527766,0.33916081419095806,0.47660626055180655,1.0374993967478083,0.27591642554120877,RECOVERY,MID_CYCLE,RECOVERY,RECOVERY,DEPLOY_FAST,False,CASH,263.7067565917969,0.02760111613163163,0.041410616511543104,0.009361217019783371
2023-01-09,0.3251183648527766,0.33916081419095806,2.2447970241349156,1.001536500584061,0.4019311904062464,RECOVERY,MID_CYCLE,RECOVERY,RECOVERY,DEPLOY_FAST,True,CASH,265.41387939453125,0.006473564897606643,0.002104674834278204,0.002195579541390275
2023-01-10,0.3251183648527766,0.33916081419095806,1.1888713276596286,0.9948829468389945,0.45787592370643304,RECOVERY,MID_CYCLE,RECOVERY,RECOVERY,DEPLOY_FAST,False,CASH,267.66046142578125,0.008464448190784069,0.0027519475551687597,0.0028708091400635066
2023-01-11,0.8743717280998256,0.618585733293849,1.4538843576062839,1.028569534640377,0.36679693129774277,RECOVERY,MID_CYCLE,RECOVERY,RECOVERY,DEPLOY_FAST,False,QQQ,272.2910461425781,0.01730021943521476,0.005624619054371249,0.005867556509329674
2023-01-12,0.8743717280998256,0.618585733293849,1.1422006420650166,1.0011390441774584,0.47581247795029774,RECOVERY,MID_CYCLE,RECOVERY,RECOVERY,DEPLOY_FAST,True,QQQ,273.76263427734375,0.0054044675930882136,0.0047255136688280465,0.0033431265491333157
2023-01-13,0.8743717280998256,0.618585733293849,2.256084209398552,0.9970871610089624,0.4941009829719964,RECOVERY,MID_CYCLE,RECOVERY,RECOVERY,DEPLOY_FAST,False,QQQ,275.6463317871094,0.0068807692281966926,0.006016350080714445,0.004256345678649803
2023-01-16,0.8743717280998256,0.618585733293849,2.293886764663283,1.0098744484625244,0.513965858519828,RECOVERY,MID_CYCLE,RECOVERY,RECOVERY,DEPLOY_FAST,False,QQQ,275.6463317871094,0.0,0.0,0.0
2023-01-17,0.8743717280998256,0.618585733293849,1.7181068272274413,0.9948552275869873,0.5904403941948494,RECOVERY,MID_CYCLE,RECOVERY,RECOVERY,DEPLOY_FAST,False,QQQ,276.2054748535156,0.002028479982959075,0.001773645548115831,0.0012547887777306338
2023-01-18,0.8743717280998256,0.618585733293849,1.2066725191699683,0.9782549105616671,0.655117110154362,RECOVERY,MID_CYCLE,RECOVERY,RECOVERY,DEPLOY_FAST,False,QQQ,272.6148986816406,-0.012999656048741426,-0.01136653172404139,-0.008041401769478535
2023-01-19,0.8743717280998256,0.618585733293849,1.7312924269586147,0.9961973097192702,0.5669365335710888,RECOVERY,MID_CYCLE,RECOVERY,RECOVERY,DEPLOY_FAST,False,QQQ,269.9365539550781,-0.009824645459638903,-0.008590392228512572,-0.006077385516002815
2023-01-20,0.8743717280998256,0.618585733293849,0.23495606696946122,1.019085618851049,0.4019933510749906,RECOVERY,MID_CYCLE,RECOVERY,RECOVERY,DEPLOY_FAST,False,QQQ,277.3238525390625,0.027366795922028953,0.023928752642899714,0.016928709523331396
2023-01-23,0.8743717280998256,0.618585733293849,0.8792095155291492,1.0204065095861736,0.41481417221209654,RECOVERY,MID_CYCLE,RECOVERY,RECOVERY,DEPLOY_FAST,False,QQQ,283.48486328125,0.022215942428968294,0.01942499197298324,0.013742465038237285
2023-01-24,0.8743717280998256,0.618585733293849,2.2511393700992763,1.0128797324583085,0.5153324254463628,RECOVERY,MID_CYCLE,RECOVERY,RECOVERY,DEPLOY_FAST,False,QQQ,282.90606689453125,-0.002041718841772955,-0.0017852212319749928,-0.0012629781469179913
2023-01-25,0.8743717280998256,0.618585733293849,1.5980913577268114,0.9997300091971286,0.5259673412489807,RECOVERY,MID_CYCLE,RECOVERY,RECOVERY,DEPLOY_FAST,False,QQQ,282.2781066894531,-0.0022196774073149905,-0.0019408231704581486,-0.001373060776679733
2023-01-26,0.8743717280998256,0.618585733293849,1.1395460012287388,1.011875460277418,0.48598174169473846,RECOVERY,MID_CYCLE,RECOVERY,RECOVERY,DEPLOY_FAST,False,QQQ,287.7818908691406,0.019497736626604478,0.01704826966823942,0.012061021708738469
2023-01-27,0.8743717280998256,0.618585733293849,1.3213691157800846,0.9739794595533287,0.7110632193542696,RECOVERY,MID_CYCLE,RECOVERY,RECOVERY,DEPLOY_FAST,False,QQQ,290.64654541015625,0.009954255746822627,0.008703719799296919,0.006157560590542785
2023-01-30,0.8743717280998256,0.618585733293849,0.5726221297492995,0.9888749429149389,0.6696134922290337,RECOVERY,MID_CYCLE,RECOVERY,RECOVERY,DEPLOY_FAST,False,QQQ,284.77001953125,-0.020218805183503497,-0.017678751628413664,-0.012507064430762986
2023-01-31,0.8743717280998256,0.618585733293849,1.6168076062745702,0.9650076145846784,0.7336804235037989,RECOVERY,MID_CYCLE,RECOVERY,RECOVERY,DEPLOY_FAST,False,QQQ,289.03765869140625,0.014986265644048702,0.013103566988949909,0.009270290122760283
2023-02-01,0.19184703870569536,0.618585733293849,0.45101916750890125,0.9931448515886693,0.6166161253240141,RECOVERY,MID_CYCLE,RECOVERY,RECOVERY,DEPLOY_FAST,False,QQQ,295.21826171875,0.02138338324260558,0.018697025758457893,0.013227455803430576
